cp,ltp,percentageChange,pointChange,securityId,securityName,symbol,fetched_at,date,source_endpoint
11.38,11.38,1.25,0.14,8125,NMB Sulav Investment Fund - 2,NSIF2,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
9.05,9.05,1.12,0.1,2933,Kumari Equity Fund,KEF,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
9.16,9.16,1.1,0.1,8074,Kumari Dhanabriddhi Yojana,KDBY,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
1090.0,1090.0,0.99,10.67,6984,8.75 % Prime Debenture 2085,PBD85,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
1030.0,1030.0,0.98,10.0,9141,NIFRA Uraj Rinpatra7%-2085/86,NIFRAUR85/86,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
11.6,11.6,0.96,0.11,4947,Prabhu Select Fund,PSF,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
8.73,8.73,0.81,0.07,4949,NIBL Samriddhi Fund -2,NIBSF2,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
1174.92,1174.92,0.78,9.09,2744,Green Development Bank Ltd.,GRDBL,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
9.22,9.22,0.77,0.07,9154,Sunrise Focused Equity Fund,SFEF,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
476.12,476.12,0.72,3.42,8104,Upper Solu Hydro Electric Company Limited,USHEC,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
788.5,788.5,0.58,4.52,184,Prabhu Insurance Ltd.,PRIN,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
1010.0,1010.0,0.55,5.5,9152,"Everest Bank Limited Energy Bond, 2089",EBLEB89,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
9.3,9.3,0.54,0.05,9138,NIBL Growth Fund,NIBLGF,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
1057.0,1057.0,0.48,5.0,2864,10.25% SBL Debenture 2083,SBLD83,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
279.77,279.77,0.47,1.31,8070,Dordi Khola Jal Bidyut Company Limited,DORDI,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
10.26,10.26,0.39,0.04,2835,NABIL BALANCED FUND-2,NBF2,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
11.29,11.29,0.36,0.04,9174,Prabhu Smart Fund,PRSF,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
850.29,850.29,0.29,2.45,2860,Saptakoshi Development Bank Ltd,SAPDBL,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
1038.1,1038.1,0.22,2.3,4959,8.5% Nepal Bank Debenture 2087,NBLD87,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
2244.07,2244.07,0.21,4.64,2774,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
10.17,10.17,0.2,0.02,9191,Citizens Super 30 Mutual Fund,C30MF,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
906.6,906.6,0.17,1.55,9214,Bhagawati Hydropower Development Company Limited,BGWT,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
535.73,535.73,0.17,0.93,9183,Nepal Republic Media Limited,NRM,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
1954.43,1954.43,0.15,2.86,450,Corporate Development Bank Limited,CORBL,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
