closingPrice,securityId,securityName,shareTraded,symbol,fetched_at,date,source_endpoint
391.2,2831,Union Hydropower Limited,244805,UNHPL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1419.0,235,Himalayan Distillery Limited,243935,HDL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
527.0,459,Kamana Sewa Bikas Bank Limited,209893,KSBBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
104.0,544,Prime Commercial Bank Promoter Share,201035,PCBLP,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
447.5,474,Muktinath Bikas Bank Ltd.,199228,MNBBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
586.0,8005,Mailung Khola Jal Vidhyut Company Limited,197464,MKJC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
391.5,2810,UNIVERSAL POWER COMPANY LTD,179721,UPCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1052.0,2917,Chandragiri Hills Limited,178031,CGH,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
291.1,360,Arun Valley Hydropower Development Co. Ltd.,172491,AHPC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
834.0,153,Butwal Power Company Limited,166350,BPCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
760.1,2776,Radhi Bidyut Company Ltd,165617,RADHI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
844.0,559,NLG Insurance Company Ltd.,160606,NLG,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
211.2,132,Nepal Investment Mega Bank Limited,152964,NIMB,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
287.5,2742,Hydorelectricity Investment and Development Company Ltd,151856,HIDCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
563.5,591,Sanima Mai Hydropower Ltd.,149728,SHPC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
251.6,341,Global IME Bank Limited,147140,GBIME,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
198.3,8055,Balephi Hydropower Limited,141798,BHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
294.0,697,Api Power Company Ltd.,141601,API,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
376.9,145,Siddhartha Bank Limited,141489,SBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
569.0,8045,Green Ventures Limited,141033,GVL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
537.0,9183,Nepal Republic Media Limited,137302,NRM,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.15,2937,Sunrise Bluechip Fund,134420,SBCF,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
400.0,2759,Synergy Power Development Ltd.,133784,SPDL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
236.5,2806,Ghalemdi Hydro Limited,131501,GHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
367.2,171,Sanima Bank Limited,124976,SANIMA,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
196.9,2880,Himal Dolakha Hydropower Company Limited,122214,HDHPC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
432.0,472,Shangrila Development Bank Ltd.,120640,SADBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
432.9,417,Garima Bikas Bank Limited,119069,GBBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
11.6,4947,Prabhu Select Fund,118440,PSF,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
212.2,255,Prabhu  Bank Limited,118331,PRVU,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
649.0,8021,Sahas Urja Limited,114053,SAHAS,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
193.3,2792,Upper Tamakoshi Hydropower Ltd,113914,UPPER,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
397.0,401,Mahalaxmi Bikas Bank Ltd.,103163,MLBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.02,9178,RBB Mutual Fund 2,96821,RMF2,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
860.0,149,Oriental Hotels Limited,91197,OHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
885.1,490,First Micro Finance Laghubitta Bittiya Sanstha Limited,90750,FMDBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
245.9,610,Ridi Power Company Limited,90701,RIDI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
207.1,152,National Hydro Power Company Limited,89957,NHPC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
561.5,147,Soaltee Hotel Limited,87475,SHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
479.0,9199,Reliable Nepal Life Insurance Limited,85710,RNLI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
399.0,2786,Panchakanya Mai Hydropower Ltd,85264,PMHPL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
564.0,8075,Bindhyabasini Hydropower Development Company Limited,84272,BHDC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
529.0,131,Nabil Bank Limited,83641,NABIL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
251.0,238,NMB Bank Limited,81745,NMB,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
575.0,2787,Kalika power Company Ltd,81542,KPCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
204.0,2788,Ankhu Khola Jalvidhyut Company Ltd,80486,AKJCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
747.0,137,Everest Bank Limited,80293,EBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
209.0,134,Himalayan Bank Limited,80057,HBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
304.5,2841,RASUWAGADHI HYDROPOWER COMPANY LIMITED,76689,RHPL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
253.0,517,Nepal Bank Limited,76661,NBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
11.4,8125,NMB Sulav Investment Fund - 2,76660,NSIF2,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
234.5,141,Laxmi Sunrise Bank Limited,73425,LSL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
261.0,2811,Mountain Hydro Nepal Limited,72466,MHNL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
337.5,418,Jyoti Bikas Bank Limited,70948,JBBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
407.0,393,Himalayan Life Insurance Limited,70849,HLI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.07,9198,Laxmi Value Fund 2,68280,LVF2,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
326.0,397,Agricultural Development Bank Limited,66102,ADBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
351.0,139,NIC Asia Bank Ltd.,63594,NICA,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
267.0,2924,GreenLife Hydropower Limited,62349,GLH,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
430.0,473,Shine Resunga Development Bank Ltd.,61803,SHINE,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
239.0,2824,Himalaya Urja Bikas Company Limited,61625,HURJA,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
255.0,357,Prime Commercial Bank Ltd.,59344,PCBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
281.0,8070,Dordi Khola Jal Bidyut Company Limited,58545,DORDI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
190.0,2907,Shiva Shree Hydropower Ltd,58116,SSHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1264.9,9213,Hathway Investment Nepal Limited,55660,HATHY,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
630.6,2913,Mountain Energy Nepal Limited,55515,MEN,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
358.0,686,Barun Hydropower Co. Ltd.,55432,BARUN,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
209.8,348,Citizens Bank International Limited,53507,CZBIL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
525.0,180,United Ajod Insurance Limited,52391,UAIL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
920.0,574,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,51995,SKBBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
985.0,2761,Samata Gharelu Laghubitta Bittiya Sanstha Limited,51740,SMATA,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.1,2770,Siddhartha Equity Fund,51265,SEF,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
522.0,8102,Mandakini Hydropower Limited,50549,MHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
250.4,140,Machhapuchhre Bank Limited,49903,MBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
10.13,8024,Nabil Balanced Fund-3,49874,NBF3,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
588.0,179,Himalayan Everest Insurance Limited,48717,HEI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
453.5,9216,Sonapur Minerals And Oil Limited,48456,SONA,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1070.0,164,Chhimek Laghubitta Bittiya Sanstha Limited,47731,CBBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
510.1,154,Chilime Hydropower Company Limited,45569,CHCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
915.0,9242,Sarbottam Cement Limited,44762,SARBTM,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.25,9182,Siddhartha Investment Growth Scheme 3,43350,SIGS3,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.15,4968,RBB Mutual Fund 1,43190,RMF1,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1024.0,2807,Asha Laghubitta Bittiya Sanstha Ltd,42597,ALBSL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
848.0,2860,Saptakoshi Development Bank Ltd,42564,SAPDBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
2134.1,2898,NRN Infrastructure and Development Limited,42484,NRN,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
285.6,2766,Chhyangdi Hydropower Ltd.,41002,CHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.38,9139,Sanima Growth Fund,40304,SAGF,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
851.9,307,Nepal Doorsanchar Company Limited,38036,NTC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
493.9,2767,Himalayan Power Partner Ltd.,36715,HPPL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
373.0,8076,Himalayan Hydropower Limited,35563,HHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
299.0,9179,Modi Energy Limited,35379,MEL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
650.0,274,Excel Development Bank Ltd.,35089,EDBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
568.9,9267,Bikash Hydropower Company Limited,34970,BHCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
686.7,516,Manjushree Finance Ltd.,34552,MFIL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
491.0,9193,Ghorahi Cement Industry Limited,33672,GCIL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
300.0,8108,Rapti Hydro And General Construction Limited,33645,RHGCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.32,8023,Mega Mutual Fund -1,32270,MMF1,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.29,2923,Sanima Large Cap Fund,32250,SLCF,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
602.0,178,National Life Insurance Co. Ltd.,31930,NLICL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
784.5,187,Nepal Life Insurance Co. Ltd.,31371,NLIC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
625.3,371,Miteri Development Bank Limited,31236,MDB,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
787.0,184,Prabhu Insurance Ltd.,30377,PRIN,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
870.0,9262,Trade Tower Limited,30314,TTL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
828.0,182,Siddhartha Premier Insurance Limited,30244,SPIL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
893.0,166,Deprosc Laghubitta Bittiya Sanstha Limited,29669,DDBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
377.0,8100,Swet-Ganga Hydropower & Construction Limited ,28548,SGHC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
672.0,273,ICFC Finance Limited,28273,ICFC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
601.5,2914,United IDI Mardi RB Hydropower Limited.,28236,UMRH,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
403.1,5982,Sanima Reliance Life Insurance Limited,27760,SRLI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
453.9,9184,IME Life Insurance Company Limited,27705,ILI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
2583.0,3946,CEDB Holdings Limited,27548,CHDC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
472.9,9201,Sun Nepal Life Insurance Company Limited,27487,SNLI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
696.0,9263,Sanvi Energy Limited,27352,SANVI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
316.0,8031,Madhya Bhotekoshi Jalavidyut Company Limited,26964,MBJC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
8.85,9236,NIC ASIA Growth Fund-2,26123,NICGF2,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
475.0,8104,Upper Solu Hydro Electric Company Limited,25885,USHEC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
859.0,1741,Mero Microfinance Bittiya Sanstha Ltd.,25196,MERO,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.26,2902,Laxmi Unnati Kosh,24723,LUK,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.03,8074,Kumari Dhanabriddhi Yojana,24475,KDBY,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
688.1,2748,RSDC Laghubitta Bittiya Sanstha Ltd.,24325,RSDC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
512.9,9156,Sanima Middle Tamor Hydropower Limited,24173,TAMOR,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
10.26,2835,NABIL BALANCED FUND-2,24092,NBF2,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
680.5,194,Nepal Finance Ltd.,23492,NFS,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
569.8,2908,Sanima GIC Insurance Limited,23115,SGIC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
710.0,185,Sagarmatha Lumbini Insurance Co. Limited,22950,SALICO,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1170.0,2744,Green Development Bank Ltd.,22806,GRDBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
390.0,135,Nepal SBI Bank Limited,22671,SBI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
474.0,9209,Citizen Life Insurance Company Limited,20473,CLI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
472.0,587,Reliance Finance Ltd.,20367,RLFL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
802.0,172,Narayani Development Bank Limited,20144,NABBC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
830.0,8126,Sikles Hydropower Limited,19608,SIKLES,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
496.5,385,Asian Life Insurance Co. Limited,19572,ALICL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1242.5,2832,Infinity Laghubitta Bittiya Sanstha Limited,19521,ILBS,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
499.0,227,Best Finance Company Ltd.,19508,BFC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
518.5,8025,Samling Power Company Limited,19058,SPC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
602.0,9173,City Hotel Limited,18590,CITY,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
788.0,163,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,18404,NUBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.28,9248,Garima Samriddhi Yojana,18050,GSY,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
2248.9,2774,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,17999,USLB,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
437.5,403,SuryaJyoti Life Insurance Company Limited,17849,SJLIC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
10.14,2862,CITIZENS MUTUAL FUND 2,17595,CMF2,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
361.0,8122,People's Power Limited,17334,PPL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
509.8,244,Shree Investment Finance Co. Ltd.,16764,SIFC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
505.0,245,Central Finance Co. Ltd.,16623,CFCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
353.0,8022,Terhathum Power Company Limited,16601,TPC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
912.0,9258,Pure Energy Limited,16576,PURE,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
596.0,8099,Upper Hewakhola Hydropower Company Limited,15947,UHEWA,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
914.0,9146,Super Madi Hydropower Limited,15612,SMHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
306.9,2789,Joshi Hydropower Development Company Ltd,15531,JOSHI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
455.1,256,Samriddhi Finance Company Limited,15424,SFCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
300.0,2842,SANJEN JALAVIDHYUT COMPANY LIMITED,15405,SJCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
377.7,8066,River Falls Power Limited,15250,RFPL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.15,9254,NMB Hybrid Fund L- II,15200,NMBHF2,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
572.0,9159,Sagarmatha Jalabidhyut Company Limited,14907,SMJC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1230.0,9252,Crest Micro Life Insurance Limited,14883,CREST,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
336.0,2813,Panchthar Power Compant Limited,14823,PPCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
531.0,186,IGI Prudential insurance Limited,14163,IGI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
517.1,8032,Buddha Bhumi Nepal Hydropower Company Limited,14074,BNHC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
866.5,268,Swabalamban Laghubitta Bittiya Sanstha Limited,13476,SWBBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1404.2,9250,Nepal Micro Insurance Company Limited,13440,NMIC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
420.2,8026,Nyadi Hydropower Limited,13388,NYADI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
566.0,8121,Sayapatri Hydropower Limited,13321,SPHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1325.0,9256,Om Megashree Pharmaceuticals Limited,13313,OMPL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
630.9,133,Standard Chartered Bank Limited,13295,SCB,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1635.1,9230,Muktinath Krishi Company Limited,13186,MKCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
754.9,561,Sindhu Bikash Bank Ltd,12801,SINDU,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
402.0,236,Pokhara Finance Ltd.,12571,PFL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
443.0,9203,Manakamana Engineering Hydropower Limited,12570,MEHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
852.0,9194,Three Star Hydropower Limited,12441,TSHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
486.1,9208,Upper Lohore Khola Hydropower Company Limited,12282,ULHC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
612.0,176,Nepal Insurance Co. Ltd.,12171,NICL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
476.0,263,Guheshowori Merchant Bank & Finance Co. Ltd.,11732,GMFIL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
830.0,2784,Nadep Laghubittiya bittya Sanstha Ltd.,11646,NADEP,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
705.1,2769,Nepal Hydro Developers Ltd.,11590,NHDL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
947.0,2896,Sampada Laghubitta Bittiya Sanstha Limited,11148,SMPDA,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
437.5,9149,Maya Khola Hydropower Company Limited,11138,MKHC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
600.0,471,Multipurpose Finance Company  Limited,11131,MPFL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
966.0,545,Swarojgar Laghubitta Bittiya Sanstha Ltd.,11088,SLBBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
737.9,2935,Ru Ru Jalbidhyut Pariyojana Limited,11034,RURU,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1290.0,2746,National Laghubitta Bittiya Sanstha Limited,10847,NMFBS,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
314.0,2754,Dibyashwori Hydropower Ltd.,10752,DHPL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
467.0,250,Janaki Finance Company Limited,10725,JFL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
504.0,2915,Prabhu Mahalaxmi Life Insurance Limited,10611,PMLI,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
256.1,2751,Khanikhola Hydropower Co. Ltd.,10582,KKHC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
492.0,338,Progressive Finance Limited,10497,PROFL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1493.0,4951,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,10356,JBLB,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1927.0,210,Citizen Investment Trust,10344,CIT,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
715.0,9171,Bhugol Energy Development Company Limited,10001,BEDC,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1509.0,2804,Samudayik Laghubitta Bittiya Sanstha Limited,9974,SLBSL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
676.3,396,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,9875,NMLBBL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.17,9257,MBL Equity Fund,9850,MBLEF,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
642.6,9150,Asian Hydropower Limited,9444,AHL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
736.0,192,Shikhar Insurance Co. Ltd.,9430,SICL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
9.25,9245,Muktinath Mutual Fund 1,9200,MNMF1,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
1061.0,593,Kalika Laghubitta Bittiya Sanstha Ltd,8838,KMCDB,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
630.1,232,Goodwill Finance Limited,8776,GFCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
880.0,9233,Nepal Warehousing Company Limited ,8371,NWCL,2025-08-30 12:59:55.075775,2025-08-30,TopTenTradeScrips
