timestamp,datetime,index_value,fetched_at,date,source_endpoint
1756365780,2025-08-28 13:08:00,2801.66,2025-08-30 12:59:55.627389,2025-08-30,DailyNepseIndexGraph
1756365840,2025-08-28 13:09:00,2802.16,2025-08-30 12:59:55.627395,2025-08-30,DailyNepseIndexGraph
1756365900,2025-08-28 13:10:00,2802.27,2025-08-30 12:59:55.627400,2025-08-30,DailyNepseIndexGraph
1756365960,2025-08-28 13:11:00,2801.73,2025-08-30 12:59:55.627406,2025-08-30,DailyNepseIndexGraph
1756366020,2025-08-28 13:12:00,2801.75,2025-08-30 12:59:55.627412,2025-08-30,DailyNepseIndexGraph
1756366080,2025-08-28 13:13:00,2802.11,2025-08-30 12:59:55.627418,2025-08-30,DailyNepseIndexGraph
1756366140,2025-08-28 13:14:00,2801.85,2025-08-30 12:59:55.627424,2025-08-30,DailyNepseIndexGraph
1756366200,2025-08-28 13:15:00,2801.15,2025-08-30 12:59:55.627430,2025-08-30,DailyNepseIndexGraph
1756366260,2025-08-28 13:16:00,2800.62,2025-08-30 12:59:55.627436,2025-08-30,DailyNepseIndexGraph
1756366320,2025-08-28 13:17:00,2800.45,2025-08-30 12:59:55.627443,2025-08-30,DailyNepseIndexGraph
1756366380,2025-08-28 13:18:00,2801.24,2025-08-30 12:59:55.627449,2025-08-30,DailyNepseIndexGraph
1756366440,2025-08-28 13:19:00,2801.63,2025-08-30 12:59:55.627455,2025-08-30,DailyNepseIndexGraph
1756366500,2025-08-28 13:20:00,2801.95,2025-08-30 12:59:55.627462,2025-08-30,DailyNepseIndexGraph
1756366560,2025-08-28 13:21:00,2803.34,2025-08-30 12:59:55.627468,2025-08-30,DailyNepseIndexGraph
1756366620,2025-08-28 13:22:00,2803.46,2025-08-30 12:59:55.627474,2025-08-30,DailyNepseIndexGraph
1756366680,2025-08-28 13:23:00,2803.78,2025-08-30 12:59:55.627480,2025-08-30,DailyNepseIndexGraph
1756366740,2025-08-28 13:24:00,2804.64,2025-08-30 12:59:55.627486,2025-08-30,DailyNepseIndexGraph
1756366800,2025-08-28 13:25:00,2805.11,2025-08-30 12:59:55.627491,2025-08-30,DailyNepseIndexGraph
1756366860,2025-08-28 13:26:00,2804.96,2025-08-30 12:59:55.627497,2025-08-30,DailyNepseIndexGraph
1756366920,2025-08-28 13:27:00,2805.18,2025-08-30 12:59:55.627503,2025-08-30,DailyNepseIndexGraph
1756366980,2025-08-28 13:28:00,2805.26,2025-08-30 12:59:55.627509,2025-08-30,DailyNepseIndexGraph
1756367040,2025-08-28 13:29:00,2804.58,2025-08-30 12:59:55.627515,2025-08-30,DailyNepseIndexGraph
1756367100,2025-08-28 13:30:00,2803.54,2025-08-30 12:59:55.627538,2025-08-30,DailyNepseIndexGraph
1756367160,2025-08-28 13:31:00,2803.14,2025-08-30 12:59:55.627548,2025-08-30,DailyNepseIndexGraph
1756367220,2025-08-28 13:32:00,2803.3,2025-08-30 12:59:55.627554,2025-08-30,DailyNepseIndexGraph
1756367280,2025-08-28 13:33:00,2803.27,2025-08-30 12:59:55.627560,2025-08-30,DailyNepseIndexGraph
1756367340,2025-08-28 13:34:00,2803.34,2025-08-30 12:59:55.627566,2025-08-30,DailyNepseIndexGraph
1756367400,2025-08-28 13:35:00,2801.86,2025-08-30 12:59:55.627574,2025-08-30,DailyNepseIndexGraph
1756367460,2025-08-28 13:36:00,2801.24,2025-08-30 12:59:55.627580,2025-08-30,DailyNepseIndexGraph
1756367520,2025-08-28 13:37:00,2800.85,2025-08-30 12:59:55.627586,2025-08-30,DailyNepseIndexGraph
1756367580,2025-08-28 13:38:00,2800.31,2025-08-30 12:59:55.627592,2025-08-30,DailyNepseIndexGraph
1756367640,2025-08-28 13:39:00,2800.4,2025-08-30 12:59:55.627598,2025-08-30,DailyNepseIndexGraph
1756367700,2025-08-28 13:40:00,2800.2,2025-08-30 12:59:55.627603,2025-08-30,DailyNepseIndexGraph
1756367760,2025-08-28 13:41:00,2799.74,2025-08-30 12:59:55.627610,2025-08-30,DailyNepseIndexGraph
1756367820,2025-08-28 13:42:00,2799.8,2025-08-30 12:59:55.627616,2025-08-30,DailyNepseIndexGraph
1756367880,2025-08-28 13:43:00,2799.56,2025-08-30 12:59:55.627621,2025-08-30,DailyNepseIndexGraph
1756367940,2025-08-28 13:44:00,2796.21,2025-08-30 12:59:55.627627,2025-08-30,DailyNepseIndexGraph
1756368000,2025-08-28 13:45:00,2796.35,2025-08-30 12:59:55.627704,2025-08-30,DailyNepseIndexGraph
1756368060,2025-08-28 13:46:00,2795.08,2025-08-30 12:59:55.627715,2025-08-30,DailyNepseIndexGraph
1756368120,2025-08-28 13:47:00,2794.32,2025-08-30 12:59:55.627723,2025-08-30,DailyNepseIndexGraph
1756368180,2025-08-28 13:48:00,2794.23,2025-08-30 12:59:55.627732,2025-08-30,DailyNepseIndexGraph
1756368240,2025-08-28 13:49:00,2793.65,2025-08-30 12:59:55.627742,2025-08-30,DailyNepseIndexGraph
1756368300,2025-08-28 13:50:00,2792.56,2025-08-30 12:59:55.627750,2025-08-30,DailyNepseIndexGraph
1756368360,2025-08-28 13:51:00,2792.55,2025-08-30 12:59:55.627759,2025-08-30,DailyNepseIndexGraph
