ltp,percentageChange,pointChange,sectorName,symbol,totalTradeQuantity,totalTrades,totalTurnover,fetched_at,date,source_endpoint
314.18,-1.46,-4.66,Hydro Power,DHPL,10752,87,3389682.0,2025-08-30 12:59:55.483305,2025-08-30,TradeTurnoverTransactionSubindices
1433.49,-1.88,-27.49,Microfinance,DLBS,1889,62,2732971.1,2025-08-30 12:59:55.483309,2025-08-30,TradeTurnoverTransactionSubindices
575.28,-0.55,-3.2,Hydro Power,DOLTI,6809,87,3916200.5,2025-08-30 12:59:55.483312,2025-08-30,TradeTurnoverTransactionSubindices
279.77,0.47,1.31,Hydro Power,DORDI,58545,319,16472719.6,2025-08-30 12:59:55.483316,2025-08-30,TradeTurnoverTransactionSubindices
747.67,-0.52,-3.89,Commercial Banks,EBL,80293,380,60081358.7,2025-08-30 12:59:55.483320,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,EBLCP,0,0,0.0,2025-08-30 12:59:55.483323,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,EBLD2078,0,0,0.0,2025-08-30 12:59:55.483326,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,EBLD85,25,1,29125.0,2025-08-30 12:59:55.483330,2025-08-30,TradeTurnoverTransactionSubindices
1036.5,-1.29,-13.5,Commercial Banks,EBLD86,30,2,31105.0,2025-08-30 12:59:55.483333,2025-08-30,TradeTurnoverTransactionSubindices
1007.2,-0.28,-2.8,Commercial Banks,EBLD91,75,3,75437.5,2025-08-30 12:59:55.483337,2025-08-30,TradeTurnoverTransactionSubindices
1010.0,0.55,5.5,Commercial Banks,EBLEB89,25,1,25250.0,2025-08-30 12:59:55.483340,2025-08-30,TradeTurnoverTransactionSubindices
640.49,-0.95,-6.17,Development Banks,EDBL,35089,133,22662006.6,2025-08-30 12:59:55.483343,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,EFL,0,0,0.0,2025-08-30 12:59:55.483346,2025-08-30,TradeTurnoverTransactionSubindices
587.75,-0.83,-4.91,Hydro Power,EHPL,2305,34,1355117.0,2025-08-30 12:59:55.483350,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Non Life Insurance,EIC,0,0,0.0,2025-08-30 12:59:55.483353,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,EKBL,0,0,0.0,2025-08-30 12:59:55.483357,2025-08-30,TradeTurnoverTransactionSubindices
1056.72,-1.18,-12.58,Investment,ENL,1489,38,1580610.7,2025-08-30 12:59:55.483360,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Others,ESC,0,0,0.0,2025-08-30 12:59:55.483363,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,FFCL,0,0,0.0,2025-08-30 12:59:55.483367,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Manufacturing And Processing,FHL,0,0,0.0,2025-08-30 12:59:55.483370,2025-08-30,TradeTurnoverTransactionSubindices
888.49,-1.06,-9.48,Microfinance,FMDBL,90750,481,81688671.3,2025-08-30 12:59:55.483373,2025-08-30,TradeTurnoverTransactionSubindices
1135.04,-2.12,-24.57,Microfinance,FOWAD,2888,54,3296159.8,2025-08-30 12:59:55.483376,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,GABL,0,0,0.0,2025-08-30 12:59:55.483380,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,GBBD85,125,4,131312.5,2025-08-30 12:59:55.483389,2025-08-30,TradeTurnoverTransactionSubindices
433.32,-1.45,-6.36,Development Banks,GBBL,119069,349,52310941.1,2025-08-30 12:59:55.483392,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,GBD80/81,0,0,0.0,2025-08-30 12:59:55.483396,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,GBILD84/85,0,0,0.0,2025-08-30 12:59:55.483399,2025-08-30,TradeTurnoverTransactionSubindices
1095.0,-1.97,-22.0,Commercial Banks,GBILD86/87,16,1,17520.0,2025-08-30 12:59:55.483402,2025-08-30,TradeTurnoverTransactionSubindices
251.62,-1.44,-3.67,Commercial Banks,GBIME,147140,409,37063219.3,2025-08-30 12:59:55.483405,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,GBIMESY2,100,1,1000.0,2025-08-30 12:59:55.483409,2025-08-30,TradeTurnoverTransactionSubindices
776.51,-1.83,-14.51,Microfinance,GBLBS,8015,137,6255797.6,2025-08-30 12:59:55.483412,2025-08-30,TradeTurnoverTransactionSubindices
491.53,-2.46,-12.4,Manufacturing And Processing,GCIL,33672,384,16707894.3,2025-08-30 12:59:55.483415,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,GDBL,0,0,0.0,2025-08-30 12:59:55.483419,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,GDBL1,0,0,0.0,2025-08-30 12:59:55.483422,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,GDBNL,0,0,0.0,2025-08-30 12:59:55.483425,2025-08-30,TradeTurnoverTransactionSubindices
630.53,-1.37,-8.77,Finance,GFCL,8776,104,5565787.3,2025-08-30 12:59:55.483429,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,GFLK,0,0,0.0,2025-08-30 12:59:55.483432,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Microfinance,GGBSL,0,0,0.0,2025-08-30 12:59:55.483436,2025-08-30,TradeTurnoverTransactionSubindices
235.77,-1.85,-4.44,Hydro Power,GHL,131501,402,31411008.0,2025-08-30 12:59:55.483439,2025-08-30,TradeTurnoverTransactionSubindices
11.1,-0.89,-0.1,Mutual Fund,GIBF1,4100,22,45204.0,2025-08-30 12:59:55.483443,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Non Life Insurance,GIC,0,0,0.0,2025-08-30 12:59:55.483446,2025-08-30,TradeTurnoverTransactionSubindices
1298.98,-2.11,-28.02,Microfinance,GILB,7669,99,10051167.2,2025-08-30 12:59:55.483453,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,GIMES1,0,0,0.0,2025-08-30 12:59:55.483456,2025-08-30,TradeTurnoverTransactionSubindices
2181.9,-1.79,-39.66,Microfinance,GLBSL,2260,77,4949088.5,2025-08-30 12:59:55.483460,2025-08-30,TradeTurnoverTransactionSubindices
268.24,-1.48,-4.04,Hydro Power,GLH,62349,272,16945031.7,2025-08-30 12:59:55.483463,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Life Insurance,GLICL,0,0,0.0,2025-08-30 12:59:55.483466,2025-08-30,TradeTurnoverTransactionSubindices
1612.67,-1.66,-27.26,Microfinance,GMFBS,2974,28,4837666.0,2025-08-30 12:59:55.483470,2025-08-30,TradeTurnoverTransactionSubindices
476.89,-2.09,-10.19,Finance,GMFIL,11732,71,5623410.3,2025-08-30 12:59:55.483473,2025-08-30,TradeTurnoverTransactionSubindices
2094.52,-3.2,-69.17,Life Insurance,GMLI,7271,229,15370637.6,2025-08-30 12:59:55.483477,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,GRAND,0,0,0.0,2025-08-30 12:59:55.483480,2025-08-30,TradeTurnoverTransactionSubindices
1174.92,0.78,9.09,Development Banks,GRDBL,22806,187,26921802.3,2025-08-30 12:59:55.483483,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Manufacturing And Processing,GRU,0,0,0.0,2025-08-30 12:59:55.483487,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,GSDBL,0,0,0.0,2025-08-30 12:59:55.483490,2025-08-30,TradeTurnoverTransactionSubindices
9.28,-0.11,-0.01,Development Banks,GSY,18050,30,167797.5,2025-08-30 12:59:55.483494,2025-08-30,TradeTurnoverTransactionSubindices
531.34,-1.3,-6.99,Finance,GUFL,8114,83,4333257.8,2025-08-30 12:59:55.483497,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,GULMI,0,0,0.0,2025-08-30 12:59:55.483501,2025-08-30,TradeTurnoverTransactionSubindices
561.13,-3.5,-20.34,Hydro Power,GVL,141033,698,80401570.9,2025-08-30 12:59:55.483504,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,GWFD83,0,0,0.0,2025-08-30 12:59:55.483508,2025-08-30,TradeTurnoverTransactionSubindices
11.63,1.48,0.17,Commercial Banks,H8020,3198,13,36810.64,2025-08-30 12:59:55.483511,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,HAMA,0,0,0.0,2025-08-30 12:59:55.483515,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,HAMRO,0,0,0.0,2025-08-30 12:59:55.483518,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,HATH,0,0,0.0,2025-08-30 12:59:55.483521,2025-08-30,TradeTurnoverTransactionSubindices
1258.99,-0.49,-6.24,Investment,HATHY,55660,762,70301860.8,2025-08-30 12:59:55.483525,2025-08-30,TradeTurnoverTransactionSubindices
209.59,-0.8,-1.68,Commercial Banks,HBL,80057,345,16728255.17,2025-08-30 12:59:55.483528,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,HBLD83,0,0,0.0,2025-08-30 12:59:55.483532,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,HBLD86,0,0,0.0,2025-08-30 12:59:55.483535,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Manufacturing And Processing,HBT,0,0,0.0,2025-08-30 12:59:55.483538,2025-08-30,TradeTurnoverTransactionSubindices
196.32,-1.12,-2.23,Hydro Power,HDHPC,122214,378,24159434.7,2025-08-30 12:59:55.483541,2025-08-30,TradeTurnoverTransactionSubindices
1419.3,-1.44,-20.73,Manufacturing And Processing,HDL,243935,1918,350421793.4,2025-08-30 12:59:55.483544,2025-08-30,TradeTurnoverTransactionSubindices
601.39,2.08,12.26,Non Life Insurance,HEI,48717,265,29005450.9,2025-08-30 12:59:55.483548,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,HFL,0,0,0.0,2025-08-30 12:59:55.483552,2025-08-30,TradeTurnoverTransactionSubindices
372.49,-1.62,-6.12,Hydro Power,HHL,35563,219,13370498.6,2025-08-30 12:59:55.483557,2025-08-30,TradeTurnoverTransactionSubindices
287.56,-2.33,-6.85,Investment,HIDCL,151856,522,44086393.3,2025-08-30 12:59:55.483563,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Hydro Power,HIMSTAR,0,0,0.0,2025-08-30 12:59:55.483566,2025-08-30,TradeTurnoverTransactionSubindices
1002.04,-0.82,-8.27,Microfinance,HLBSL,4160,74,4165046.3,2025-08-30 12:59:55.483570,2025-08-30,TradeTurnoverTransactionSubindices
406.49,-2.09,-8.66,Life Insurance,HLI,70849,542,29023765.9,2025-08-30 12:59:55.483573,2025-08-30,TradeTurnoverTransactionSubindices
494.85,-1.26,-6.33,Hydro Power,HPPL,36715,227,18377324.0,2025-08-30 12:59:55.483577,2025-08-30,TradeTurnoverTransactionSubindices
1032.21,-2.17,-22.87,Others,HRL,578159,4291,606949761.0,2025-08-30 12:59:55.483580,2025-08-30,TradeTurnoverTransactionSubindices
